position_pair,basin_id,source_state_id,out_degree,total_out_count,dominant_target_state_id,dominant_target_share,transition_entropy,branching_class,miss_count,control_count,mixed_label
-4->-3,B001,S017,1,40,S012,1.0,0.0,function_like,14,26,mixed
-4->-3,B001,S020,1,1,S012,1.0,0.0,function_like,1,0,miss_only
-4->-3,B001,S021,1,2,S012,1.0,0.0,function_like,2,0,miss_only
-4->-3,B001,S023,1,2,S012,1.0,0.0,function_like,2,0,miss_only
-4->-3,B001,S026,1,3,S012,1.0,0.0,function_like,3,0,miss_only
-4->-3,B001,S027,1,1,S012,1.0,0.0,function_like,1,0,miss_only
-4->-3,B001,S029,1,3,S012,1.0,0.0,function_like,3,0,miss_only
-4->-3,B002,S017,1,8,S013,1.0,0.0,function_like,0,8,control_only
-4->-3,B002,S019,1,2,S013,1.0,0.0,function_like,2,0,miss_only
-4->-3,B002,S021,1,1,S013,1.0,0.0,function_like,1,0,miss_only
-4->-3,B002,S022,1,1,S013,1.0,0.0,function_like,1,0,miss_only
-4->-3,B002,S024,1,3,S013,1.0,0.0,function_like,3,0,miss_only
-4->-3,B002,S030,1,1,S013,1.0,0.0,function_like,1,0,miss_only
-4->-3,B003,S017,1,4,S013,1.0,0.0,function_like,0,4,control_only
-4->-3,B003,S021,1,4,S013,1.0,0.0,function_like,4,0,miss_only
-4->-3,B004,S018,1,12,S014,1.0,0.0,function_like,0,12,control_only
-4->-3,B004,S019,1,1,S014,1.0,0.0,function_like,1,0,miss_only
-4->-3,B004,S021,1,3,S014,1.0,0.0,function_like,3,0,miss_only
-4->-3,B004,S023,1,2,S014,1.0,0.0,function_like,2,0,miss_only
-4->-3,B004,S025,1,2,S014,1.0,0.0,function_like,2,0,miss_only
-4->-3,B004,S028,1,1,S014,1.0,0.0,function_like,1,0,miss_only
-4->-3,B004,S029,1,3,S014,1.0,0.0,function_like,3,0,miss_only
