position_pair,bundle_string,row_count,observation_count,unique_source_state_count,unique_target_state_count,unique_delta_pattern_count,unique_source_face_count,stability_label
-1->0,all_except_front,4,100,2,2,2,2,stable_candidate
-2->-1,all_except_chain_status,3,76,1,2,2,1,stable_candidate
-2->-1,band+R_before+R_after+residue16+residue32,1,24,1,1,1,1,sparse
-3->-2,all_features,3,76,2,1,2,2,stable_candidate
-3->-2,band+R_before+R_after+chain_status+residue32,1,24,1,1,1,1,sparse
-4->-3,all_except_chain_status,9,18,4,3,8,4,frequent_but_diverse
-4->-3,all_features,9,18,8,3,9,8,frequent_but_diverse
-4->-3,band+R_before+R_after,1,12,1,1,1,1,sparse
-4->-3,band+R_before+R_after+transition_k+residue16+residue32,3,52,1,2,2,1,stable_candidate
-5->-4,all_except_chain_status,5,12,5,2,5,5,frequent_but_diverse
-5->-4,all_except_front,1,4,1,1,1,1,sparse
-5->-4,all_features,24,84,4,14,17,4,frequent_but_diverse
