from_state,to_state,side_observations,pair_count,miss_count,control_count,side_mix,example_pairs
S017,S012,40,26,14,26,mixed,control:TW0048|control:TW0049|control:TW0050|control:TW0052|control:TW0054
S017,S013,12,12,0,12,control_only,control:TW0057|control:TW0058|control:TW0059|control:TW0060|control:TW0061
S018,S014,12,12,0,12,control_only,control:TW0068|control:TW0069|control:TW0051|control:TW0066|control:TW0067
S021,S013,5,5,5,0,miss_only,miss:TW0061|miss:TW0075|miss:TW0077|miss:TW0089|miss:TW0094
S021,S014,3,3,3,0,miss_only,miss:TW0051|miss:TW0079|miss:TW0104
S024,S013,3,3,3,0,miss_only,miss:TW0057|miss:TW0058|miss:TW0080
S026,S012,3,3,3,0,miss_only,miss:TW0048|miss:TW0049|miss:TW0052
S029,S012,3,3,3,0,miss_only,miss:TW0050|miss:TW0083|miss:TW0095
S029,S014,3,3,3,0,miss_only,miss:TW0066|miss:TW0067|miss:TW0081
S019,S013,2,2,2,0,miss_only,miss:TW0059|miss:TW0060
S021,S012,2,2,2,0,miss_only,miss:TW0062|miss:TW0063
S023,S012,2,2,2,0,miss_only,miss:TW0054|miss:TW0106
S023,S014,2,2,2,0,miss_only,miss:TW0068|miss:TW0069
S025,S014,2,2,2,0,miss_only,miss:TW0064|miss:TW0065
S019,S014,1,1,1,0,miss_only,miss:TW0084
S020,S012,1,1,1,0,miss_only,miss:TW0053
S022,S013,1,1,1,0,miss_only,miss:TW0074
S027,S012,1,1,1,0,miss_only,miss:TW0102
S028,S014,1,1,1,0,miss_only,miss:TW0085
S030,S013,1,1,1,0,miss_only,miss:TW0056
